x0_1	 w_1	 Amp_1	 x0_1_NoFit	 w_1_NoFit	 Amp_NoFit_1	x0_2	 w_2	 Amp_2	 x0_2_NoFit	 w_2_NoFit	 Amp_NoFit_2	Fit_model	 slop	 Flag	 fileName
0.011782	 0.015267	 79.466537	 0.014139	 0.011123	 31.271634	x	 x	 x	 x	 x	 x	5 	 9999.999915	 x	 NF0085_man_002.img_C.dat
0.014407	 0.011257	 32.341599	 0.014407	 0.011257	 32.341599	x	 x	 x	 x	 x	 x	5 	 -2.059761	 x	 NF0085_man_003.img_C.dat
0.013597	 0.012095	 17.144266	 0.017486	 0.011390	 9.974024	x	 x	 x	 x	 x	 x	5 	 -2.389804	 very_weak	 NF081_Y+0.5_410.dat
0.014259	 0.012235	 19.480943	 0.018558	 0.012059	 9.887009	x	 x	 x	 x	 x	 x	5 	 -2.273490	 weak	 NF081_Y+0_409.dat
0.012701	 0.012551	 17.136167	 0.016682	 0.011658	 8.518956	x	 x	 x	 x	 x	 x	5 	 -2.349203	 x	 NF081_Y=5.9_416.dat
0.013192	 0.012261	 21.917864	 0.016015	 0.011257	 14.077606	x	 x	 x	 x	 x	 x	5 	 -2.272257	 weak	 NF081_man_001.img_C.dat
0.013180	 0.012098	 19.696469	 0.016819	 0.011525	 11.102180	x	 x	 x	 x	 x	 x	5 	 -2.205812	 weak	 NF081_man_002.img_C.dat
0.013165	 0.011591	 16.663893	 0.016414	 0.010988	 9.766222	x	 x	 x	 x	 x	 x	5 	 -2.316382	 weak	 NF082_Y+1_421.dat
0.011858	 0.013600	 15.059182	 0.017218	 0.013265	 8.268071	x	 x	 x	 x	 x	 x	5 	 -2.441361	 very_very_weak	 NF082_Y=6.8_428.dat
0.013143	 0.012907	 34.207768	 0.015878	 0.011122	 22.523083	x	 x	 x	 x	 x	 x	5 	 -2.251900	 x	 NF083_Y=5.3_437.dat
0.013371	 0.012554	 31.503036	 0.015881	 0.012061	 24.883447	x	 x	 x	 x	 x	 x	5 	 -2.245477	 x	 NF083_man_006.img_C.dat
0.013946	 0.013592	 48.449862	 0.017084	 0.011925	 31.671400	x	 x	 x	 x	 x	 x	5 	 -2.199227	 x	 NF086_Y+0.5_442.dat
0.014137	 0.013224	 67.396938	 0.017352	 0.012729	 51.313496	x	 x	 x	 x	 x	 x	5 	 -2.105205	 x	 NF086_Y+1_443.dat
0.016928	 0.017469	 15.746316	 0.020836	 0.014203	 10.337273	x	 x	 x	 x	 x	 x	5 	 -2.428328	 x	 NF087_Y+0.5_447.dat
0.017042	 0.016704	 35.935644	 0.020300	 0.014873	 28.183558	x	 x	 x	 x	 x	 x	5 	 -2.198491	 x	 NF087_Y+1_448.dat
0.021654	 0.025330	 23.947005	 0.027938	 0.021439	 13.786982	x	 x	 x	 x	 x	 x	5 	 -2.230796	 x	 NF088_Y+1_459.dat
0.022671	 0.024115	 15.557452	 0.028608	 0.020769	 9.223296	x	 x	 x	 x	 x	 x	5 	 -2.243601	 x	 NF088_Y=6.5_467.dat
0.021078	 0.027045	 28.273496	 0.024856	 0.020903	 19.863022	x	 x	 x	 x	 x	 x	5 	 -2.420802	 x	 NF088_Y=6.8_468.dat
0.021153	 0.027557	 26.944325	 0.025660	 0.020635	 17.308431	x	 x	 x	 x	 x	 x	5 	 -2.378146	 x	 NF088_y=7.1_469.dat
0.026647	 0.026665	 13.888161	 0.030350	 0.019697	 7.811007	x	 x	 x	 x	 x	 x	5 	 -2.405353	 x	 NF089_Y+0.5_471.dat
0.026714	 0.026004	 14.659808	 0.028608	 0.019161	 8.159719	x	 x	 x	 x	 x	 x	5 	 -2.307451	 x	 NF089_Y+1_472.dat
0.025023	 0.029767	 8.427901	 0.033164	 0.024789	 5.441041	x	 x	 x	 x	 x	 x	5 	 -2.862104	 x	 NF089_Y=5.9_478.dat
0.024825	 0.029874	 18.437348	 0.030886	 0.023315	 12.678842	x	 x	 x	 x	 x	 x	5 	 -2.599421	 x	 NF089_Y=6.2_479.dat
0.024705	 0.029268	 18.529614	 0.031422	 0.024119	 12.549549	x	 x	 x	 x	 x	 x	5 	 -2.782315	 x	 NF089_Y=6.5_480.dat
0.025470	 0.027276	 19.161334	 0.027134	 0.021037	 13.816091	x	 x	 x	 x	 x	 x	5 	 -2.549551	 x	 NF089_Y=6.8_481.dat
0.028210	 0.032742	 11.327233	 0.034771	 0.020501	 3.381121	x	 x	 x	 x	 x	 x	5 	 -2.674422	 very_weak	 NF090_Y+1_484.dat
0.026914	 0.029964	 9.271496	 0.030618	 0.020367	 4.777015	x	 x	 x	 x	 x	 x	5 	 -2.624234	 very_weak	 NF091_Y+1_495.dat
0.027342	 0.030649	 8.611974	 0.034102	 0.022109	 4.056078	x	 x	 x	 x	 x	 x	5 	 -2.654605	 very_weak	 NF091_Y=6.8_503.dat
0.029724	 0.031993	 5.055133	 0.034771	 0.024387	 3.028658	x	 x	 x	 x	 x	 x	5 	 -2.903167	 very_very_weak	 NF092_Y+0_505.dat
0.028674	 0.025892	 8.981180	 0.034911	 0.022917	 6.827624	x	 x	 x	 x	 x	 x	5 	 -2.785987	 better	 NF092_man_006.img_C.dat
0.012532	 0.012334	 31.437306	 0.014675	 0.012061	 27.026909	x	 x	 x	 x	 x	 x	5 	 -2.220253	 x	 R@NF082_Y=-4.3000.img_C.dat
0.012722	 0.012089	 30.533046	 0.015747	 0.011927	 23.047875	x	 x	 x	 x	 x	 x	5 	 -2.224389	 x	 R@NF082_Y=-4.7000.img_C.dat
0.012127	 0.018553	 140.455730	 0.014809	 0.013804	 97.025747	x	 x	 x	 x	 x	 x	5 	 -2.612578	 not_best_fit	 R@NF086_Y=-4.3000.img_C.dat
0.016079	 0.019892	 42.957806	 0.018695	 0.013804	 28.602506	x	 x	 x	 x	 x	 x	5 	 -2.766644	 x	 R@NF087_Y=-3.9000.img_C.dat
0.016834	 0.016711	 43.377231	 0.018427	 0.013536	 35.820758	x	 x	 x	 x	 x	 x	5 	 -2.084918	 x	 R@NF087_Y=-4.3000.img_C.dat
0.020761	 0.025320	 30.356748	 0.025664	 0.020236	 20.932854	x	 x	 x	 x	 x	 x	5 	 -2.594178	 x	 R@NF088_Y=-3.9000.img_C.dat
0.021562	 0.022872	 28.626664	 0.027540	 0.021040	 17.155315	x	 x	 x	 x	 x	 x	5 	 -2.448135	 x	 R@NF088_Y=-4.3000.img_C.dat
0.024902	 0.024797	 23.072663	 0.028210	 0.020638	 14.776772	x	 x	 x	 x	 x	 x	5 	 -2.656162	 x	 R@NF089_Y=-4.3000.img_C.dat
0.026870	 0.021442	 14.745695	 0.026870	 0.021442	 14.745695	x	 x	 x	 x	 x	 x	3 	 -2.012868	 x	 R@NF090_Y=-3.5000.img_C.dat
0.025699	 0.024043	 28.271005	 0.032901	 0.023453	 16.950382	x	 x	 x	 x	 x	 x	5 	 -2.565912	 x	 R@NF090_Y=-3.9000.img_C.dat
0.027542	 0.023020	 7.465348	 0.033035	 0.023051	 4.584365	x	 x	 x	 x	 x	 x	5 	 -2.643150	 weak	 R@NF091_Y=-4.3000.img_C.dat
0.026527	 0.024647	 11.959020	 0.032633	 0.023051	 8.057049	x	 x	 x	 x	 x	 x	5 	 -2.492661	 x	 R@NF091_Y=-4.7000.img_C.dat
